Name	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contig_N50	GC	Group
B_30_T_2.bin.11	77.04	2.67	0	3.024386	9.645	70.8	B_30
B_30_T_2.bin.12	96.79	0.04	0	6.201017	46.12	49.2	B_30
B_30_T_2.bin.14	54.67	2.21	100	1.896029	20.108	74.8	B_30
B_30_T_2.bin.15	68.81	7.56	100	2.71887	40.83	72.7	B_30
B_30_T_3.bin.01	78.62	1.2	0	3.636236	24.838	65.2	B_30
B_30_T_3.bin.03	87.95	1.58	50	3.433284	59.89	73.8	B_30
B_30_T_3.bin.04	78.41	0.6	33.33	2.84512	21.533	70.8	B_30
B_30_T_3.bin.05	100	0	0	3.67847	121.873	66.6	B_30
B_30_T_3.bin.06	92.57	0.5	0	5.690023	93.255	62.7	B_30
B_30_T_3.bin.07	94.82	9	14.29	7.585768	31.897	61.5	B_30
B_30_T_3.bin.08	97.66	1.1	0	4.246292	52.042	64.1	B_30
B_30_T_3.bin.09	94.67	0.1	12.5	6.882078	40.371	71.7	B_30
B_45_A_1.bin.01	99.69	0.66	0	4.705266	28.275	41.8	B_45
B_45_A_1.bin.02	99.86	0.72	0	5.107854	173.229	55.9	B_45
B_45_A_1.bin.03	89.63	0.89	0	4.559701	43.355	50.8	B_45
B_45_A_1.bin.04	100	0.2	0	3.346102	288.817	62.9	B_45
B_45_A_1.bin.05	99.89	0.46	0	5.011985	121.802	63.1	B_45
B_45_A_1.bin.06	82.93	0.01	0	5.144777	84.939	53.2	B_45
B_45_A_1.bin.07	96.85	2.42	25	8.81989	68.289	71.9	B_45
B_45_A_1.bin.08	85	1.03	0	4.776304	8.455	46.5	B_45
B_45_A_1.bin.09	96	0.86	100	3.627427	60.206	73.7	B_45
B_45_A_1.bin.10	99.98	0.89	5.56	4.949408	237.239	36	B_45
B_45_A_1.bin.11	99.94	1.16	0	4.78313	85.129	43.5	B_45
B_45_A_1.bin.12	95.31	0.97	62.5	5.042851	244.702	49.3	B_45
B_45_A_1.bin.13	100	0	0	4.098235	151.594	46	B_45
B_45_A_1.bin.14	87.78	2.84	40	3.281622	57.132	74.3	B_45
B_45_A_1.bin.15	99.94	0.16	0	4.315939	44.592	38.4	B_45
B_45_A_1.bin.16	99.96	0.11	0	6.30329	77.426	50.9	B_45
B_45_A_2.bin.01	99.93	1.31	50	4.857452	104.373	62.8	B_45
B_45_A_2.bin.02	80.96	0.03	0	4.230931	58.368	56.9	B_45
B_45_A_2.bin.03	96.1	0.25	0	5.073472	22.605	46.6	B_45
B_45_A_2.bin.04	84.47	0.04	18.18	3.902342	9.421	41.9	B_45
B_45_A_2.bin.05	100	0.51	0	4.895822	73.62	35.3	B_45
B_45_A_2.bin.06	88.05	0.76	0	4.595867	169.052	62.3	B_45
B_45_A_2.bin.07	99.61	0.02	0	4.053169	151.059	45.9	B_45
B_45_A_2.bin.08	76.02	5.85	27.59	3.920289	21.708	64.9	B_45
B_45_A_2.bin.09	77.87	3.99	52.63	6.376394	16.629	73.1	B_45
B_45_A_2.bin.10	98.87	0.95	0	4.25243	115.309	62.9	B_45
B_45_A_2.bin.11	99.86	0.49	0	4.026602	191.104	71.8	B_45
B_45_A_2.bin.12	99.92	2.66	0	5.870273	119.622	58.4	B_45
B_45_A_3.bin.01	100	1.06	0	5.044197	78.279	35.3	B_45
B_45_A_3.bin.02	70.75	9.93	28.57	7.273038	31.096	73.9	B_45
B_45_A_3.bin.03	99.98	2.76	0	6.268238	120.802	57.9	B_45
B_45_A_3.bin.04	99.85	1.43	14.29	4.701325	178.596	63.1	B_45
B_45_A_3.bin.06	56.29	1.39	0	3.666038	2.502	52.8	B_45
B_45_A_3.bin.07	99.89	0.68	0	5.199308	128.443	55.9	B_45
B_45_A_3.bin.08	83.9	3.48	7.69	4.833483	4.401	35.3	B_45
B_45_A_3.bin.09	92.46	1.36	10	3.834349	9.629	46.1	B_45
B_45_A_3.bin.10	96.53	0.85	0	3.24471	33.132	70.7	B_45
B_45_M_1.bin.02	99.87	0.65	0	4.115059	86.219	63	B_45
B_45_M_1.bin.03	87.65	3.1	0	4.926351	106.018	35.7	B_45
B_45_M_1.bin.04	89.72	0.23	0	3.613137	111.145	35.2	B_45
B_45_M_1.bin.05	100	0.05	0	5.084573	126.317	41.5	B_45
B_45_M_1.bin.06	100	1.15	0	4.380759	331.222	44.4	B_45
B_45_M_1.bin.07	68.59	5.46	66.67	4.553337	18.133	53.8	B_45
B_45_M_1.bin.08	97.69	1.11	7.14	4.152135	112.932	46	B_45
B_45_M_1.bin.09	95.83	0.79	0	4.872629	248.306	35.3	B_45
B_45_M_1.bin.10	80.01	0.83	12.5	4.306649	4.301	62.9	B_45
B_45_M_1.bin.11	99.83	1.04	0	3.795727	109.42	43.5	B_45
B_45_M_1.bin.12	97.33	1.18	0	3.281142	19.66	70.4	B_45
B_45_M_1.bin.13	89.57	0.76	0	3.293763	50.264	74.2	B_45
B_45_M_1.bin.14	100	9.2	0	6.251815	41.395	38.1	B_45
B_45_M_1.bin.15	100	8.72	0	5.877952	60.379	44.3	B_45
B_45_M_2.bin.01	100	0	0	4.039539	156.419	46	B_45
B_45_M_2.bin.02	97.74	0.72	0	4.330046	70.908	62.9	B_45
B_45_M_2.bin.03	93.7	1.67	0	5.103035	58.761	50.4	B_45
B_45_M_2.bin.04	100	1.39	0	4.945438	93.435	35.3	B_45
B_45_M_2.bin.05	93.78	0.24	0	6.554374	130.784	49.6	B_45
B_45_M_2.bin.06	99.32	1.92	20	4.93233	13.787	65.2	B_45
B_45_M_2.bin.07	99.97	0.02	0	4.66791	32.251	41.8	B_45
B_45_M_2.bin.08	69.55	2.73	37.5	3.249532	13.438	36	B_45
B_45_M_2.bin.09	98.38	0	0	5.934035	181.256	51.1	B_45
B_45_M_2.bin.10	90.31	0.62	0	4.730964	33.316	56.5	B_45
B_45_M_2.bin.11	100	2.33	14.29	4.692096	6.117	46.5	B_45
B_45_M_2.bin.12	74.47	3.88	83.33	3.262836	5.699	73.9	B_45
B_45_M_2.bin.14	99.6	3.56	50	5.912076	76.932	58.5	B_45
B_45_M_2.bin.15	99.47	4.9	0	5.380849	118.118	50.2	B_45
B_45_M_2.bin.16	88.59	0.24	0	5.001102	57.13	48.1	B_45
B_45_M_2.bin.17	93.79	0.59	16.67	3.155829	22.336	39.4	B_45
B_45_M_2.bin.18	98.28	0.27	33.33	4.237822	104.465	63.6	B_45
B_45_M_2.bin.19	84.84	1.46	0	3.29456	22.471	35.4	B_45
B_45_M_2.bin.20	85.18	1.62	17.65	2.602459	3.127	44.2	B_45
B_45_M_3.bin.01	100	0.06	0	6.384581	364.411	52.2	B_45
B_45_M_3.bin.02	99.99	1.62	0	5.943996	124.497	47.4	B_45
B_45_M_3.bin.03	99.7	0.23	33.33	4.117253	125.297	63.6	B_45
B_45_M_3.bin.04	93.75	4.08	0	8.681578	55.766	71.2	B_45
B_45_M_3.bin.05	96.13	1.05	20	4.121878	7.953	62.9	B_45
B_45_M_3.bin.06	100	1.27	0	5.315068	86.278	44.8	B_45
B_45_M_3.bin.07	81.56	2.52	0	9.836188	39.008	73.2	B_45
B_45_M_3.bin.08	83.37	5.33	0	6.762603	23.815	73.1	B_45
B_45_M_3.bin.09	50.21	2.7	0	3.187204	2.23	58.9	B_45
B_45_M_3.bin.10	93.26	0	14.29	3.527389	182.588	73.7	B_45
B_45_M_3.bin.11	100	0.42	0	4.934712	75.755	35.3	B_45
B_45_N_1.bin.01	86.57	0	0	3.767825	81.945	46.3	B_45
B_45_N_1.bin.02	100	2.51	0	5.802584	50.794	64.6	B_45
B_45_N_1.bin.03	87.13	2.72	37.5	6.723219	26.247	72.9	B_45
B_45_N_1.bin.04	99.92	0.43	0	5.030013	258.357	50.3	B_45
B_45_N_1.bin.05	98.82	1.12	0	3.340164	44.135	74.3	B_45
B_45_N_1.bin.06	99.71	2.18	0	5.013471	328.277	37.2	B_45
B_45_N_1.bin.07	99.57	0.47	33.33	4.573854	294.622	45.4	B_45
B_45_N_1.bin.08	94.31	1.27	0	3.67677	194.1	35.2	B_45
B_45_N_1.bin.09	99.63	0.58	16.67	4.956524	17.794	56.1	B_45
B_45_N_1.bin.10	99.99	1.09	0	4.331939	204.499	44.3	B_45
B_45_N_2.bin.01	83.74	0.25	0	3.681361	14.651	64.5	B_45
B_45_N_2.bin.02	86.77	4.36	16.67	9.307136	16.415	73.2	B_45
B_45_N_2.bin.03	98.68	1.66	0	4.629535	22.907	65.5	B_45
B_45_N_2.bin.04	85.29	1.44	12.5	4.799907	6.786	46.4	B_45
B_45_N_2.bin.05	100	0.59	0	4.969167	72.252	35.2	B_45
B_45_N_2.bin.06	99.85	0.19	0	5.214629	248.6	55.7	B_45
B_45_N_2.bin.07	83.55	5.87	66.67	3.241538	59.153	74.5	B_45
B_45_N_2.bin.08	99.94	3.44	0	6.086725	108.481	58.3	B_45
B_45_N_2.bin.09	98.03	0.98	0	4.932455	89.922	50.5	B_45
B_45_N_2.bin.10	94.1	0.52	40	7.945362	38.236	72.1	B_45
B_45_N_2.bin.11	100	3.86	0	5.711874	178.214	49.9	B_45
B_45_N_2.bin.12	91.86	6.26	80	3.753545	91.272	73.6	B_45
B_45_N_2.bin.15	94.59	2.15	20	3.651795	50.232	38.7	B_45
B_45_N_2.bin.16	91.11	1.4	0	3.017079	100.307	39	B_45
B_45_N_2.bin.17	100	2.23	0	4.95084	153.011	35.4	B_45
B_45_N_2.bin.18	100	0	0	4.133133	97.646	45.8	B_45
B_45_N_3.bin.01	99.88	0.4	25	4.919711	104.382	63.1	B_45
B_45_N_3.bin.02	97.3	2.23	0	10.018622	89.534	73.2	B_45
B_45_N_3.bin.04	99.99	0.12	0	6.293923	303.098	52.6	B_45
B_45_N_3.bin.05	100	0.77	0	4.93817	99.687	35.3	B_45
B_45_N_3.bin.06	99.68	3.07	0	5.938789	104.358	58.3	B_45
B_45_N_3.bin.07	71.6	4.39	0	5.889037	13.812	73.3	B_45
B_45_N_3.bin.08	97	0.42	0	3.986972	90.638	63	B_45
B_45_N_3.bin.09	86.71	0.6	0	5.534488	14.391	53.4	B_45
B_45_N_3.bin.11	99.99	4.01	50	6.105062	138.408	47.4	B_45
B_45_N_3.bin.12	100	0.03	0	4.098417	151.204	45.9	B_45
B_45_N_3.bin.10	84.96	2.04	33.33	6.647029	24.874	70.8	B_45
B_45_R_1.bin.01	100	1.11	0	5.179563	172.037	35.3	B_45
B_45_R_1.bin.02	99.53	1.56	100	3.790751	54.426	73.6	B_45
B_45_R_1.bin.03	99.97	0.52	0	5.036018	318.179	50.4	B_45
B_45_R_1.bin.04	100	1.86	0	4.925449	204.744	35.4	B_45
B_45_R_1.bin.05	100	2.19	0	4.428905	1047.787	45.8	B_45
B_45_R_1.bin.06	97.05	0	50	3.859475	246.457	71.8	B_45
B_45_R_1.bin.07	77.9	1.92	55.56	6.495297	13.853	72.8	B_45
B_45_R_1.bin.08	98.07	0.52	100	3.425877	128.875	70.5	B_45
B_45_R_2.bin.01	99.98	0.21	0	4.948216	166.804	50.5	B_45
B_45_R_2.bin.02	99.97	0.01	0	4.146443	94.195	46.1	B_45
B_45_R_2.bin.03	99.91	1.83	20	4.939308	149.332	63.1	B_45
B_45_R_2.bin.04	100	1.92	0	5.68808	54.224	64.7	B_45
B_45_R_2.bin.05	98.16	2.1	75	3.60517	73.007	73.7	B_45
B_45_R_2.bin.06	99.96	1.03	0	5.437209	162.739	56	B_45
B_45_R_2.bin.07	91.01	3.89	0	5.129467	17.418	50.1	B_45
B_45_R_2.bin.08	100	0.94	0	5.119547	71.125	35.2	B_45
B_45_R_2.bin.09	58.85	2.74	18.18	4.033852	2.743	71.7	B_45
B_45_R_2.bin.11	83.55	2.24	11.11	5.608101	8.417	51.3	B_45
B_45_R_2.bin.12	80.83	2.26	0	3.065723	4.257	59.9	B_45
B_45_R_2.bin.14	94.18	0.08	0	3.64708	150.981	43.4	B_45
B_45_R_2.bin.15	99.85	3.17	0	5.94031	70.088	58.4	B_45
B_45_R_3.bin.01	88.51	1.27	0	9.658081	64.465	73.3	B_45
B_45_R_3.bin.02	100	0.74	0	5.109444	239.694	35.5	B_45
B_45_R_3.bin.03	62.69	6.22	67.74	6.381766	14.286	70.8	B_45
B_45_R_3.bin.04	99.99	0.46	100	3.408678	115.341	74.2	B_45
B_45_R_3.bin.05	99.94	1.31	25	4.871208	159.981	63.1	B_45
B_45_R_3.bin.06	99.87	2.5	0	6.102576	123.184	58.2	B_45
B_45_R_3.bin.07	92.12	5.59	8.33	9.004539	23.271	71.5	B_45
B_45_R_3.bin.08	99.02	0.43	0	3.380384	284.312	70.5	B_45
B_45_R_3.bin.09	68.34	4.46	16.67	3.896695	2.591	47.8	B_45
B_45_R_3.bin.10	100	0.01	0	4.150758	302.7	45.9	B_45
B_45_T_1.bin.01	99.99	0	100	3.978374	98.552	46.1	B_45
B_45_T_1.bin.02	88.6	0.21	0	4.531474	46.209	50.8	B_45
B_45_T_1.bin.03	99.81	0.24	0	3.71536	553.332	35.2	B_45
B_45_T_1.bin.04	91.75	1.39	0	3.146611	21.04	74.4	B_45
B_45_T_1.bin.05	99.99	0.03	0	3.470794	559.798	43.7	B_45
B_45_T_1.bin.06	99.99	1.24	0	4.418767	309.412	44.4	B_45
B_45_T_1.bin.07	99.84	0.16	0	3.943898	99.175	38.5	B_45
B_45_T_1.bin.08	99.5	0.96	10	6.625505	23.972	49.7	B_45
B_45_T_2.bin.01	100	0	0	3.979184	151.166	46	B_45
B_45_T_2.bin.02	84.13	0.11	20	2.662021	29.087	39.4	B_45
B_45_T_2.bin.03	92.4	0.34	0	3.170866	84.326	74.4	B_45
B_45_T_2.bin.04	87.84	2.64	56.52	7.341384	35.653	72.5	B_45
B_45_T_2.bin.05	99.93	0.21	0	3.705798	142.024	73.7	B_45
B_45_T_2.bin.06	100	2.18	0	5.992879	66.582	64.5	B_45
B_45_T_2.bin.07	99.83	0.53	0	3.280624	88.437	70.6	B_45
B_45_T_2.bin.10	100	1.53	0	4.310314	239.987	44.3	B_45
B_45_T_2.bin.11	57.28	1.34	0	3.010199	116.049	34.4	B_45
B_45_T_2.bin.12	80.16	1.43	0	6.934372	36.65	73.1	B_45
B_45_T_2.bin.13	90.29	0.5	50	3.979881	6.091	60.8	B_45
B_45_T_2.bin.14	99.82	0.91	33.33	3.865006	75.153	35.2	B_45
B_45_T_3.bin.01	99.96	1.35	0	4.571998	354.898	58.3	B_45
B_45_T_3.bin.02	94.44	0.68	0	5.016935	90.478	63	B_45
B_45_T_3.bin.03	97.32	0.25	0	2.713582	33.247	39.4	B_45
B_45_T_3.bin.04	95.32	5.04	0	5.170365	11.29	43.7	B_45
B_45_T_3.bin.06	98.57	7.63	0	6.352869	156.509	35.2	B_45
B_45_T_3.bin.07	96.08	2.63	0	3.228142	100.686	70.7	B_45
B_45_T_3.bin.08	95.47	0.13	100	3.67098	35.41	73.6	B_45
B_45_T_3.bin.09	75.58	3.09	7.69	9.275439	10.224	73.2	B_45
B_45_T_3.bin.10	85.63	1.54	0	3.210901	48.459	74.1	B_45
B_45_T_3.bin.11	100	0.01	0	4.096098	155.272	45.9	B_45
B_45_T_3.bin.12	75.98	2.94	68.18	3.060741	8.214	45	B_45
B_45_T_3.bin.13	99.94	3.27	0	6.133433	93.764	58.1	B_45
B_45_T_3.bin.14	99.95	0.67	0	5.171927	183.823	55.8	B_45
B_45_T_3.bin.15	62.07	2.49	0	5.088274	9.2	71.4	B_45
B_45_T_3.bin.16	100	0.65	0	3.424781	96.219	66.2	B_45
B_45_T_3.bin.17	98.23	0.27	0	4.979708	160.526	50.4	B_45
B_45_T_3.bin.19	100	1.04	0	5.18927	178.571	35.2	B_45
B_45_T_3.bin.20	99.95	1.87	20	3.64749	115.648	70.3	B_45
B_45_T_3.bin.21	56.81	1.11	33.33	2.412494	2.236	35.1	B_45
BS.bin.01	54.83	0.32	25	1.867137	5.986	71.3	OBS
BS.bin.02	82.7	0.02	54.55	2.058048	8.307	63.6	OBS
BS.bin.03	90.38	1.08	100	1.920343	21.057	65.4	OBS
BS.bin.04	90.32	0.69	20	3.067351	15.382	61.6	OBS
BS.bin.05	87.58	0.89	0	2.681144	7.967	39.5	OBS
BS.bin.06	66.87	5.36	0	1.692321	15.455	72.2	OBS
BS.bin.07	83.88	1.08	60	2.83739	16.492	71	OBS
BS.bin.08	90.62	3.5	7.69	4.082914	24.173	69.6	OBS
BS.bin.09	86.73	1.83	25	4.761344	7.94	70.8	OBS
BS.bin.10	78.68	1.54	0	3.887452	19.549	69.5	OBS
BS.bin.11	55.58	0.31	0	1.805095	13.281	67.1	OBS
BS.bin.12	54.61	0.9	0	2.521009	4.02	40.4	OBS
BS.bin.13	56.79	7.78	18.52	1.999134	4.628	71.3	OBS
BS.bin.14	58.49	4.24	44.44	1.600996	9.207	56.1	OBS
BS.bin.15	84.78	1.12	100	2.221452	23.614	71.5	OBS
BS.bin.16	52.74	1.86	0	3.605518	5.528	54.1	OBS
BS.bin.17	72.48	5.63	62.5	1.674238	6.408	61.5	OBS
BS.bin.18	81.81	0.46	20	2.05853	30.494	63.7	OBS
BS.bin.19	60.09	1.81	100	1.663917	6.379	72.7	OBS
BS.bin.20	90.68	1.83	0	1.895194	23.611	71.4	OBS
BS.bin.21	61.27	3.37	62.5	1.654458	7.095	65.7	OBS
BS.bin.22	79.84	1.04	50	2.35993	23.16	70.6	OBS
BS.bin.23	83.54	2.13	0	2.729688	36.15	65.8	OBS
BS.bin.24	67.15	3.19	0	1.637761	8.277	66.6	OBS
BS.bin.25	72.7	7.15	25	2.517328	8.251	65.4	OBS
BS.bin.28	58.18	1.01	62.5	1.885989	12.194	71.9	OBS
BS.bin.29	64.25	0.49	0	1.324959	8.848	72	OBS
BS.bin.30	72.33	0.05	0	1.897755	19.288	70	OBS
BS.bin.31	61.27	0.07	0	1.274957	16.72	68.1	OBS
BS.bin.32	53.94	2.4	0	1.966945	9.996	42	OBS
BS.bin.33	65.01	3.1	25	1.193411	6.246	43.9	OBS
BS.bin.34	79.73	1.45	9.09	4.198239	11.261	35.8	OBS
BS.bin.35	80.21	5.55	0	3.290636	18.946	70.3	OBS
BS.bin.36	88.37	0.61	0	2.153789	7.797	40.1	OBS
BS.bin.37	85.69	1.32	100	2.193901	16.072	71.7	OBS
BS.bin.39	87.26	1.12	50	2.687945	39.848	71	OBS
BS.bin.41	82.54	2.42	0	0.652573	4.019	43.1	OBS
BS.bin.42	79.98	4.21	12.5	0.630944	3.215	44.3	OBS
BS.bin.43	94.37	3.47	60	2.252242	17.599	71.2	OBS
BS.bin.44	67.38	0.78	0	2.189337	6.703	72.4	OBS
BS.bin.45	80.39	3.36	25	1.457849	31.846	41.8	OBS
BS.bin.47	56.71	6.22	36.84	1.75381	3.612	61.2	OBS
BS.bin.48	71.18	3.19	0	2.574384	3.387	45	OBS
BS.bin.49	73.79	1.79	0	3.098802	10.404	65.7	OBS
BS.bin.50	72.97	2.15	0	2.330821	14.85	70.9	OBS
BS.bin.51	98.19	0.13	0	3.058411	33.581	64.6	OBS
BS.bin.52	91.05	7.05	0	4.61829	23.342	56.5	OBS
BS.bin.53	98.63	5.38	0	3.773452	8.526	34.3	OBS
BS.bin.54	66.19	7.54	25	1.819001	13.48	66.5	OBS
BS.bin.55	99.9	0.03	16.67	3.212635	27.114	59.6	OBS
BS.bin.56	64.56	1.59	0	3.79297	9.551	64.7	OBS
BS.bin.57	87.14	4.14	33.33	3.687576	15.03	67.2	OBS
BS.bin.58	95.81	0.27	0	2.981181	53.383	73.3	OBS
BS.bin.61	76.56	1.21	0	4.233005	5.952	60.9	OBS
R_15_A_1.bin.01	94.84	1.08	0	4.474983	79.333	61.8	R_15
R_15_A_1.bin.02	88.25	0.38	0	3.048731	7.495	46.2	R_15
R_15_A_1.bin.03	99.85	9.26	100	4.592207	42.694	62.2	R_15
R_15_A_1.bin.04	80.59	4.68	0	3.274373	7.202	66.4	R_15
R_15_A_1.bin.05	87.36	0.05	0	2.774296	46.507	64.1	R_15
R_15_A_1.bin.06	75.21	3.07	66.67	2.390141	17.443	69.4	R_15
R_15_A_1.bin.07	99.99	0.39	25	5.2645	112.19	40.4	R_15
R_15_A_1.bin.08	96.13	1.23	28.57	3.185812	84.485	70.9	R_15
R_15_A_2.bin.01	76.48	0.72	0	4.205308	20.907	41.5	R_15
R_15_A_2.bin.02	86.28	6.11	0	3.5757	23.52	64.8	R_15
R_15_A_2.bin.03	87.47	0.37	25	3.103804	33.805	64.1	R_15
R_15_A_2.bin.04	64.6	2.93	0	2.63377	20.731	66.8	R_15
R_15_A_2.bin.05	78.16	3.07	0	2.793568	10.055	69.2	R_15
R_15_A_2.bin.06	58.14	2.81	40	2.04344	2.458	46.8	R_15
R_15_A_2.bin.07	76.55	7.06	0	3.76022	8.568	63	R_15
R_15_A_2.bin.08	92.68	0.11	0	4.751041	230.033	41.9	R_15
R_15_A_2.bin.09	97.03	2.58	0	2.864691	40.508	69.1	R_15
R_15_A_2.bin.10	91.91	0.16	0	3.59265	93.465	42	R_15
R_15_A_2.bin.11	86.83	8.61	50	4.903418	67.053	40.4	R_15
R_15_A_2.bin.12	51.02	8.76	50	2.248269	11.243	68.2	R_15
R_15_A_2.bin.13	70.18	1.28	0	2.136856	20.671	71.2	R_15
R_15_A_2.bin.14	76.3	6.73	0	3.460076	18.058	64	R_15
R_15_A_2.bin.15	84.95	0.58	0	3.368717	24.201	66.3	R_15
R_15_A_2.bin.16	95.33	0.25	33.33	5.609541	43.815	62.8	R_15
R_15_A_2.bin.17	79.31	0.03	0	3.280178	57.203	45	R_15
R_15_A_2.bin.18	84.77	1.41	33.33	3.955154	250.982	40.7	R_15
R_15_A_2.bin.19	97.51	1.14	37.5	3.925188	10.329	64.3	R_15
R_15_A_2.bin.20	87.34	0.05	0	2.567507	61.012	70.9	R_15
R_15_A_3.bin.01	80.54	1.4	0	3.144782	10.123	66	R_15
R_15_A_3.bin.02	77.6	1.96	0	2.972447	21.624	66.6	R_15
R_15_A_3.bin.03	55.43	2.82	0	1.986274	5.313	69.8	R_15
R_15_A_3.bin.04	99.8	0.39	0	5.723597	56.616	62.7	R_15
R_15_A_3.bin.05	91.83	0.52	0	4.463296	47.034	61.8	R_15
R_15_A_3.bin.06	92.96	0.65	42.86	3.046424	80.228	70.9	R_15
R_15_A_3.bin.07	99.44	0.61	7.69	4.038366	24.181	64.1	R_15
R_15_A_3.bin.08	81.27	2.7	40	2.916474	24.617	68.4	R_15
R_15_A_3.bin.09	80.75	3.84	22.22	3.317317	17.529	64.9	R_15
R_15_A_3.bin.10	81.54	3.5	46.15	2.623261	12.801	69.1	R_15
R_15_A_3.bin.11	91.86	1.83	0	3.747191	54.679	64.7	R_15
R_15_A_3.bin.12	99.98	0.42	0	5.498164	617.147	41.6	R_15
R_15_A_3.bin.13	57.04	2.3	64.29	2.01793	5.68	67.7	R_15
R_15_A_3.bin.14	79.39	9.24	80	2.935939	14.249	65	R_15
R_15_A_3.bin.15	84.47	1.49	50	3.056359	6.954	60.6	R_15
R_15_A_3.bin.16	68.45	2.25	0	3.064951	8.637	62.8	R_15
R_15_A_3.bin.17	92.28	1.19	100	3.190373	58.041	64.1	R_15
R_15_A_3.bin.18	92.02	0.34	0	4.285374	81.939	61.8	R_15
R_15_M_1.bin.01	62.82	3.48	0	2.338324	3.551	73.7	R_15
R_15_M_1.bin.02	94.63	0.75	0	4.297839	59.678	61.8	R_15
R_15_M_1.bin.03	96.5	0.01	40	2.758092	25.306	44.7	R_15
R_15_M_1.bin.04	92.86	8.67	20	6.42393	7.227	35.3	R_15
R_15_M_1.bin.05	99.96	0.21	40	3.151561	77.962	70.7	R_15
R_15_M_1.bin.06	87.28	0.76	50	2.708792	17.018	69.2	R_15
R_15_M_1.bin.08	71.71	4.49	12.5	2.594474	9.641	64.9	R_15
R_15_M_1.bin.09	85.01	3.69	33.33	3.270897	20.973	43.7	R_15
R_15_M_1.bin.10	93.36	1.99	0	3.286673	31.166	64	R_15
R_15_M_1.bin.11	100	0.48	20	5.176042	36.516	40.5	R_15
R_15_M_2.bin.01	98.76	0.29	0	5.268441	174.884	41.7	R_15
R_15_M_2.bin.02	76.61	4.71	37.5	3.090111	13.528	64.9	R_15
R_15_M_2.bin.03	84.46	2.04	83.33	2.892229	62.218	66.2	R_15
R_15_M_2.bin.04	91.15	0.65	42.86	3.039774	94.175	71	R_15
R_15_M_2.bin.05	93.86	1.06	0	4.321167	68.249	61.8	R_15
R_15_M_2.bin.06	83.65	6.86	20	3.067512	26.549	70.5	R_15
R_15_M_2.bin.07	68.36	2.19	37.5	2.859477	3.684	73.4	R_15
R_15_M_2.bin.08	87.06	3.34	0	2.834699	36.476	69.1	R_15
R_15_M_2.bin.09	81.54	0.93	50	2.818612	22.67	62.8	R_15
R_15_M_2.bin.10	71.21	0.79	0	2.961256	20.494	65.5	R_15
R_15_M_2.bin.11	99.99	0.7	0	4.437003	33.982	36.5	R_15
R_15_M_2.bin.12	88.6	0.22	0	4.563639	119.734	41.5	R_15
R_15_M_2.bin.13	72.05	3.19	0	2.549958	6.319	67.9	R_15
R_15_M_2.bin.14	87	0	0	3.037187	59.249	64.1	R_15
R_15_M_2.bin.15	60.97	7.56	75	2.19731	9.269	69.8	R_15
R_15_M_2.bin.16	92.68	0.15	33.33	3.943693	50.696	40.9	R_15
R_15_M_2.bin.17	99.77	0.26	25	5.693917	49.818	62.8	R_15
R_15_M_2.bin.18	93.46	0	25	3.973111	42.781	64	R_15
R_15_M_2.bin.19	95.5	1.31	42.86	3.934402	68.018	62.2	R_15
R_15_M_2.bin.20	95.7	1.54	100	3.514191	35.543	66.6	R_15
R_15_M_2.bin.21	100	0.4	0	5.135697	40.505	40.5	R_15
R_15_M_2.bin.23	87.19	1.45	0	3.000755	26.656	63.1	R_15
R_15_M_2.bin.24	74.32	4.24	50	3.215928	19.329	67.2	R_15
R_15_M_3.bin.01	54.73	0.33	53.33	4.414143	25.686	72.6	R_15
R_15_M_3.bin.02	99.94	0.32	0	5.503355	406.637	41.6	R_15
R_15_M_3.bin.03	98.23	6.97	100	4.763387	49.661	62.1	R_15
R_15_M_3.bin.04	99.87	0.19	0	5.591156	57.205	62.8	R_15
R_15_M_3.bin.05	85.21	0.27	0	3.47644	39.797	66.1	R_15
R_15_M_3.bin.06	88.09	2.36	12.5	3.283539	35.379	68.3	R_15
R_15_M_3.bin.07	99.08	1.19	0	2.986008	56.826	68.9	R_15
R_15_M_3.bin.08	85.96	3.57	72.73	3.266561	21.768	69.5	R_15
R_15_M_3.bin.09	83.31	0.1	0	2.693669	35.957	71.1	R_15
R_15_M_3.bin.10	90.66	1.2	0	3.307708	9.307	76	R_15
R_15_M_3.bin.11	79.56	7.4	40	3.218899	10.205	64.9	R_15
R_15_M_3.bin.12	68.58	0.47	0	2.514742	14.901	67.8	R_15
R_15_M_3.bin.13	92.34	0.01	0	4.005883	35.76	64	R_15
R_15_M_3.bin.14	80.31	2.78	0	4.872831	4.048	53.5	R_15
R_15_M_3.bin.15	77.43	4.86	100	3.006181	18.13	66.7	R_15
R_15_M_3.bin.16	59.21	3.08	0	2.480267	5.002	69.7	R_15
R_15_M_3.bin.17	98.46	0.3	0	4.790994	342.622	41.5	R_15
R_15_M_3.bin.19	99.99	0.88	0	4.378526	90.695	36.4	R_15
R_15_M_3.bin.21	97.24	1.54	16.67	3.104901	10.74	66	R_15
R_15_M_3.bin.22	100	0.26	0	4.700671	50.133	40.9	R_15
R_15_M_3.bin.23	95.27	2.39	50	4.443246	78.738	61.7	R_15
R_15_M_3.bin.24	99.99	0.43	0	3.460095	169.799	62.5	R_15
R_15_M_3.bin.25	67.75	5.73	13.33	2.829836	13.03	72.2	R_15
