Name	Completeness_checkM2	Contamination_checkM2	Completeness_checkM1	Contamination_checkM1	Quality	Sample
B_30_T_3.bin.03	87.95	1.58	90.5	1.16	MQ MAG	BCES
B_30_T_3.bin.04	78.41	0.6	73.66	3.03	MQ MAG	BCES
B_30_T_3.bin.05	100	0	99.64	1.36	HQ MAG	BCES
B_30_T_3.bin.06	92.57	0.5	97.19	0.72	HQ MAG	BCES
B_30_T_3.bin.07	94.82	9	93.13	8.17	MQ MAG	BCES
B_30_T_3.bin.08	97.66	1.1	95.5	1.84	HQ MAG	BCES
B_30_T_3.bin.09	94.67	0.1	95.15	2.2	HQ MAG	BCES
B_45_A_1.bin.01	99.69	0.66	95.98	1.44	HQ MAG	BCES
B_45_A_1.bin.02	99.86	0.72	98.92	0.56	HQ MAG	BCES
B_45_A_1.bin.03	89.63	0.89	80.7	0	MQ MAG	BCES
B_45_A_1.bin.04	100	0.2	100	0	HQ MAG	BCES
B_45_A_1.bin.05	99.89	0.46	98.75	0.69	HQ MAG	BCES
B_45_A_1.bin.06	82.93	0.01	80.17	0	MQ MAG	BCES
B_45_A_1.bin.07	96.85	2.42	96.94	1.43	HQ MAG	BCES
B_45_A_1.bin.08	85	1.03	90.11	0.63	MQ MAG	BCES
B_45_A_1.bin.09	96	0.86	94.09	1.16	HQ MAG	BCES
B_45_A_1.bin.10	99.98	0.89	90.01	2.07	HQ MAG	BCES
B_45_A_1.bin.11	99.94	1.16	96.7	1.44	HQ MAG	BCES
B_45_A_1.bin.12	95.31	0.97	99.3	2.65	HQ MAG	BCES
B_45_A_1.bin.13	100	0	99.59	0.41	HQ MAG	BCES
B_45_A_1.bin.14	87.78	2.84	86.63	2.03	MQ MAG	BCES
B_45_A_1.bin.15	99.94	0.16	99.34	1.21	HQ MAG	BCES
B_45_A_1.bin.16	99.96	0.11	97.74	0	HQ MAG	BCES
B_45_A_2.bin.01	99.93	1.31	98.75	1.34	HQ MAG	BCES
B_45_A_2.bin.02	80.96	0.03	90.19	0	MQ MAG	BCES
B_45_A_2.bin.03	96.1	0.25	96.76	0.63	HQ MAG	BCES
B_45_A_2.bin.04	84.47	0.04	90.49	2.54	MQ MAG	BCES
B_45_A_2.bin.05	100	0.51	97.92	2.11	HQ MAG	BCES
B_45_A_2.bin.06	88.05	0.76	97.39	0.43	MQ MAG	BCES
B_45_A_2.bin.07	99.61	0.02	98.55	0	HQ MAG	BCES
B_45_A_2.bin.08	76.02	5.85	81.8	7.52	MQ MAG	BCES
B_45_A_2.bin.09	77.87	3.99	69.79	4.43	MQ MAG	BCES
B_45_A_2.bin.10	98.87	0.95	98.2	0.16	HQ MAG	BCES
B_45_A_2.bin.11	99.86	0.49	98.75	0.52	HQ MAG	BCES
B_45_A_2.bin.12	99.92	2.66	98.66	0.29	HQ MAG	BCES
B_45_A_3.bin.01	100	1.06	97.93	2.51	HQ MAG	BCES
B_45_A_3.bin.02	70.75	9.93	60.11	7.76	MQ MAG	BCES
B_45_A_3.bin.03	99.98	2.76	99.19	0.29	HQ MAG	BCES
B_45_A_3.bin.04	99.85	1.43	99.06	0.79	HQ MAG	BCES
B_45_A_3.bin.06	56.29	1.39	59.48	1.34	MQ MAG	BCES
B_45_A_3.bin.07	99.89	0.68	99.19	0.13	HQ MAG	BCES
B_45_A_3.bin.08	83.9	3.48	80.7	3.31	MQ MAG	BCES
B_45_A_3.bin.09	92.46	1.36	95.88	1.23	HQ MAG	BCES
B_45_A_3.bin.10	96.53	0.85	96.73	0.76	HQ MAG	BCES
B_45_M_1.bin.02	99.87	0.65	100	0.58	HQ MAG	BCES
B_45_M_1.bin.03	87.65	3.1	73.21	0	MQ MAG	BCES
B_45_M_1.bin.04	89.72	0.23	98.15	0.22	MQ MAG	BCES
B_45_M_1.bin.05	100	0.05	98.91	2.03	HQ MAG	BCES
B_45_M_1.bin.06	100	1.15	98.67	0.33	HQ MAG	BCES
B_45_M_1.bin.07	68.59	5.46	67.53	5.17	MQ MAG	BCES
B_45_M_1.bin.08	97.69	1.11	99.26	2.52	HQ MAG	BCES
B_45_M_1.bin.09	95.83	0.79	97.05	2.22	HQ MAG	BCES
B_45_M_1.bin.10	80.01	0.83	79.01	1.78	MQ MAG	BCES
B_45_M_1.bin.11	99.83	1.04	97.47	1.41	HQ MAG	BCES
B_45_M_1.bin.12	97.33	1.18	91.83	0	HQ MAG	BCES
B_45_M_1.bin.13	89.57	0.76	81.25	0.48	MQ MAG	BCES
B_45_M_1.bin.14	100	9.2	96.73	7.09	MQ MAG	BCES
B_45_M_1.bin.15	100	8.72	97	5.9	MQ MAG	BCES
B_45_M_2.bin.01	100	0	99.59	0	HQ MAG	BCES
B_45_M_2.bin.02	97.74	0.72	98.59	0.58	HQ MAG	BCES
B_45_M_2.bin.03	93.7	1.67	72.81	0	HQ MAG	BCES
B_45_M_2.bin.04	100	1.39	97.49	2.51	HQ MAG	BCES
B_45_M_2.bin.05	93.78	0.24	94.67	0	HQ MAG	BCES
B_45_M_2.bin.06	99.32	1.92	94.62	1.3	HQ MAG	BCES
B_45_M_2.bin.07	99.97	0.02	96.99	2.1	HQ MAG	BCES
B_45_M_2.bin.08	69.55	2.73	63.98	2.8	MQ MAG	BCES
B_45_M_2.bin.09	98.38	0	96.96	0	HQ MAG	BCES
B_45_M_2.bin.10	90.31	0.62	93.89	0.05	HQ MAG	BCES
B_45_M_2.bin.11	100	2.33	86.57	1.07	HQ MAG	BCES
B_45_M_2.bin.12	74.47	3.88	80.2	5.23	MQ MAG	BCES
B_45_M_2.bin.14	99.6	3.56	98.66	0.28	HQ MAG	BCES
B_45_M_2.bin.15	99.47	4.9	98.98	1.57	HQ MAG	BCES
B_45_M_2.bin.16	88.59	0.24	93.44	0.54	MQ MAG	BCES
B_45_M_2.bin.17	93.79	0.59	98.54	1.65	HQ MAG	BCES
B_45_M_2.bin.18	98.28	0.27	98.12	0.69	HQ MAG	BCES
B_45_M_2.bin.19	84.84	1.46	91.39	0.88	MQ MAG	BCES
B_45_M_2.bin.20	85.18	1.62	75.05	1.12	MQ MAG	BCES
B_45_M_3.bin.01	100	0.06	99.56	0	HQ MAG	BCES
B_45_M_3.bin.02	99.99	1.62	99.19	0.81	HQ MAG	BCES
B_45_M_3.bin.03	99.7	0.23	98.43	0.69	HQ MAG	BCES
B_45_M_3.bin.04	93.75	4.08	91.31	2.44	HQ MAG	BCES
B_45_M_3.bin.05	96.13	1.05	94.85	1.45	HQ MAG	BCES
B_45_M_3.bin.06	100	1.27	99.59	0.63	HQ MAG	BCES
B_45_M_3.bin.07	81.56	2.52	58.49	0.86	MQ MAG	BCES
B_45_M_3.bin.08	83.37	5.33	69.4	1.72	MQ MAG	BCES
B_45_M_3.bin.09	50.21	2.7	56.32	1.47	MQ MAG	BCES
B_45_M_3.bin.10	93.26	0	93.8	1.94	HQ MAG	BCES
B_45_M_3.bin.11	100	0.42	97.98	2.03	HQ MAG	BCES
B_45_N_1.bin.01	86.57	0	94.7	2.87	MQ MAG	BCES
B_45_N_1.bin.02	100	2.51	99.13	0.65	HQ MAG	BCES
B_45_N_1.bin.03	87.13	2.72	87.39	2.65	MQ MAG	BCES
B_45_N_1.bin.04	99.92	0.43	98.92	1.23	HQ MAG	BCES
B_45_N_1.bin.05	98.82	1.12	98.75	0	HQ MAG	BCES
B_45_N_1.bin.06	99.71	2.18	81.38	0	HQ MAG	BCES
B_45_N_1.bin.07	99.57	0.47	99.52	0.08	HQ MAG	BCES
B_45_N_1.bin.08	94.31	1.27	96.82	0.57	HQ MAG	BCES
B_45_N_1.bin.09	99.63	0.58	97.92	1.68	HQ MAG	BCES
B_45_N_1.bin.10	99.99	1.09	98.67	0.33	HQ MAG	BCES
B_45_N_2.bin.01	83.74	0.25	90	0.94	MQ MAG	BCES
B_45_N_2.bin.02	86.77	4.36	92.1	2.88	MQ MAG	BCES
B_45_N_2.bin.03	98.68	1.66	97.24	0.87	HQ MAG	BCES
B_45_N_2.bin.04	85.29	1.44	90.2	1.84	MQ MAG	BCES
B_45_N_2.bin.05	100	0.59	97.49	2.07	HQ MAG	BCES
B_45_N_2.bin.06	99.85	0.19	96.95	0	HQ MAG	BCES
B_45_N_2.bin.07	83.55	5.87	87.02	8.77	MQ MAG	BCES
B_45_N_2.bin.08	99.94	3.44	99.19	0.29	HQ MAG	BCES
B_45_N_2.bin.09	98.03	0.98	95.84	0.69	HQ MAG	BCES
B_45_N_2.bin.10	94.1	0.52	94.61	1.09	HQ MAG	BCES
B_45_N_2.bin.11	100	3.86	99.19	1.75	HQ MAG	BCES
B_45_N_2.bin.12	91.86	6.26	88.16	4.69	MQ MAG	BCES
B_45_N_2.bin.15	94.59	2.15	95.36	1.73	HQ MAG	BCES
B_45_N_2.bin.16	91.11	1.4	88.72	0.45	HQ MAG	BCES
B_45_N_2.bin.17	100	2.23	92.78	2.7	HQ MAG	BCES
B_45_N_2.bin.18	100	0	99.59	0	HQ MAG	BCES
B_45_N_3.bin.01	99.88	0.4	98.43	1	HQ MAG	BCES
B_45_N_3.bin.02	97.3	2.23	98.38	2.51	HQ MAG	BCES
B_45_N_3.bin.04	99.99	0.12	99.25	0	HQ MAG	BCES
B_45_N_3.bin.05	100	0.77	97.83	2.47	HQ MAG	BCES
B_45_N_3.bin.06	99.68	3.07	97.58	0.29	HQ MAG	BCES
B_45_N_3.bin.07	71.6	4.39	57.33	0.86	MQ MAG	BCES
B_45_N_3.bin.08	97	0.42	98.26	0.58	HQ MAG	BCES
B_45_N_3.bin.09	86.71	0.6	93.8	0.86	MQ MAG	BCES
B_45_N_3.bin.10	84.96	2.04	94.59	1.23	MQ MAG	BCES
B_45_N_3.bin.11	99.99	4.01	99.73	0.96	HQ MAG	BCES
B_45_N_3.bin.12	100	0.03	99.59	0	HQ MAG	BCES
B_45_R_1.bin.01	100	1.11	98.2	2.07	HQ MAG	BCES
B_45_R_1.bin.02	99.53	1.56	96.8	1.74	HQ MAG	BCES
B_45_R_1.bin.03	99.97	0.52	98.92	1.12	HQ MAG	BCES
B_45_R_1.bin.04	100	1.86	92.78	2.7	HQ MAG	BCES
B_45_R_1.bin.05	100	2.19	99.59	0.27	HQ MAG	BCES
B_45_R_1.bin.06	97.05	0	95.08	0.56	HQ MAG	BCES
B_45_R_1.bin.07	77.9	1.92	69.09	2.11	MQ MAG	BCES
B_45_R_1.bin.08	98.07	0.52	98.55	0.1	HQ MAG	BCES
B_45_R_2.bin.01	99.98	0.21	98.92	1.12	HQ MAG	BCES
B_45_R_2.bin.02	99.97	0.01	98.48	0.1	HQ MAG	BCES
B_45_R_2.bin.03	99.91	1.83	99.06	1.11	HQ MAG	BCES
B_45_R_2.bin.04	100	1.92	100	0.65	HQ MAG	BCES
B_45_R_2.bin.05	98.16	2.1	93.31	1.74	HQ MAG	BCES
B_45_R_2.bin.06	99.96	1.03	99.73	0	HQ MAG	BCES
B_45_R_2.bin.07	91.01	3.89	74.56	0	HQ MAG	BCES
B_45_R_2.bin.08	100	0.94	97.32	2.59	HQ MAG	BCES
B_45_R_2.bin.09	58.85	2.74	60.99	2.98	MQ MAG	BCES
B_45_R_2.bin.11	83.55	2.24	88.1	1.38	MQ MAG	BCES
B_45_R_2.bin.12	80.83	2.26	68.9	0	MQ MAG	BCES
B_45_R_2.bin.14	94.18	0.08	81.03	0	HQ MAG	BCES
B_45_R_2.bin.15	99.85	3.17	98.12	0.29	HQ MAG	BCES
B_45_R_3.bin.01	88.51	1.27	94.23	2.27	MQ MAG	BCES
B_45_R_3.bin.02	100	0.74	97.83	2.07	HQ MAG	BCES
B_45_R_3.bin.03	62.69	6.22	58.12	5.31	MQ MAG	BCES
B_45_R_3.bin.04	99.99	0.46	100	0.58	HQ MAG	BCES
B_45_R_3.bin.05	99.94	1.31	98.96	1	HQ MAG	BCES
B_45_R_3.bin.06	99.87	2.5	98.66	0.29	HQ MAG	BCES
B_45_R_3.bin.07	92.12	5.59	88.66	2.69	MQ MAG	BCES
B_45_R_3.bin.08	99.02	0.43	98.32	0	HQ MAG	BCES
B_45_R_3.bin.09	68.34	4.46	71.92	0.53	MQ MAG	BCES
B_45_R_3.bin.10	100	0.01	99.59	0	HQ MAG	BCES
B_45_T_1.bin.01	99.99	0	99.59	0.06	HQ MAG	BCES
B_45_T_1.bin.02	88.6	0.21	88.44	0.79	MQ MAG	BCES
B_45_T_1.bin.03	99.81	0.24	99.34	0.22	HQ MAG	BCES
B_45_T_1.bin.04	91.75	1.39	93.65	0	HQ MAG	BCES
B_45_T_1.bin.05	99.99	0.03	99.34	0.22	HQ MAG	BCES
B_45_T_1.bin.06	99.99	1.24	98.67	0.33	HQ MAG	BCES
B_45_T_1.bin.07	99.84	0.16	99.34	0.22	HQ MAG	BCES
B_45_T_1.bin.08	99.5	0.96	93.8	2.84	HQ MAG	BCES
B_45_T_2.bin.01	100	0	99.59	0	HQ MAG	BCES
B_45_T_2.bin.02	84.13	0.11	91.1	2.14	MQ MAG	BCES
B_45_T_2.bin.03	92.4	0.34	95.59	0	HQ MAG	BCES
B_45_T_2.bin.04	87.84	2.64	87.27	4.51	MQ MAG	BCES
B_45_T_2.bin.05	99.93	0.21	98.36	0	HQ MAG	BCES
B_45_T_2.bin.06	100	2.18	100	0.65	HQ MAG	BCES
B_45_T_2.bin.07	99.83	0.53	97.39	0	HQ MAG	BCES
B_45_T_2.bin.10	100	1.53	98.67	1	HQ MAG	BCES
B_45_T_2.bin.11	57.28	1.34	55.36	0	MQ MAG	BCES
B_45_T_2.bin.12	80.16	1.43	70.42	0	MQ MAG	BCES
B_45_T_2.bin.13	90.29	0.5	88.54	1.39	HQ MAG	BCES
B_45_T_2.bin.14	99.82	0.91	98.68	0.99	HQ MAG	BCES
B_45_T_3.bin.01	99.96	1.35	98.66	1.51	HQ MAG	BCES
B_45_T_3.bin.02	94.44	0.68	97.08	0.69	HQ MAG	BCES
B_45_T_3.bin.03	97.32	0.25	95.36	1.6	HQ MAG	BCES
B_45_T_3.bin.04	95.32	5.04	94.88	2.24	MQ MAG	BCES
B_45_T_3.bin.06	98.57	7.63	81.03	1.72	MQ MAG	BCES
B_45_T_3.bin.07	96.08	2.63	96.76	0.45	HQ MAG	BCES
B_45_T_3.bin.08	95.47	0.13	97.04	0.58	HQ MAG	BCES
B_45_T_3.bin.09	75.58	3.09	75.1	3.71	MQ MAG	BCES
B_45_T_3.bin.10	85.63	1.54	87.35	0.68	MQ MAG	BCES
B_45_T_3.bin.11	100	0.01	99.59	0	HQ MAG	BCES
B_45_T_3.bin.12	75.98	2.94	78.45	4.8	MQ MAG	BCES
B_45_T_3.bin.13	99.94	3.27	98.66	0.29	HQ MAG	BCES
B_45_T_3.bin.14	99.95	0.67	99.73	0.06	HQ MAG	BCES
B_45_T_3.bin.15	62.07	2.49	59.48	0	MQ MAG	BCES
B_45_T_3.bin.16	100	0.65	99.57	0.22	HQ MAG	BCES
B_45_T_3.bin.17	98.23	0.27	98.47	1.48	HQ MAG	BCES
B_45_T_3.bin.19	100	1.04	97.98	2.07	HQ MAG	BCES
B_45_T_3.bin.20	99.95	1.87	98.24	0.25	HQ MAG	BCES
B_45_T_3.bin.21	56.81	1.11	61.18	1.57	MQ MAG	BCES
BS.bin.01	54.83	0.32	68.68	2.16	MQ MAG	OBS
BS.bin.02	82.7	0.02	82.31	2.42	MQ MAG	OBS
BS.bin.03	90.38	1.08	89.74	0.09	HQ MAG	OBS
BS.bin.04	90.32	0.69	90.59	1.61	HQ MAG	OBS
BS.bin.05	87.58	0.89	89.67	0.97	MQ MAG	OBS
BS.bin.06	66.87	5.36	61.29	4.05	MQ MAG	OBS
BS.bin.07	83.88	1.08	88.33	3.19	MQ MAG	OBS
BS.bin.08	90.62	3.5	92.63	4.15	HQ MAG	OBS
BS.bin.09	86.73	1.83	86.84	1.14	MQ MAG	OBS
BS.bin.10	78.68	1.54	70.69	0	MQ MAG	OBS
BS.bin.11	55.58	0.31	59.75	0	MQ MAG	OBS
BS.bin.12	54.61	0.9	65.93	0.99	MQ MAG	OBS
BS.bin.13	56.79	7.78	59.81	9.45	MQ MAG	OBS
BS.bin.14	58.49	4.24	61.07	2.72	MQ MAG	OBS
BS.bin.15	84.78	1.12	86.7	0.93	MQ MAG	OBS
BS.bin.16	52.74	1.86	58.21	0.43	MQ MAG	OBS
BS.bin.17	72.48	5.63	77.48	4.13	MQ MAG	OBS
BS.bin.18	81.81	0.46	87.18	2.28	MQ MAG	OBS
BS.bin.19	60.09	1.81	55.17	1.72	MQ MAG	OBS
BS.bin.20	90.68	1.83	88.42	0.95	HQ MAG	OBS
BS.bin.21	61.27	3.37	68.98	1.96	MQ MAG	OBS
BS.bin.22	79.84	1.04	68.71	1.29	MQ MAG	OBS
BS.bin.23	83.54	2.13	83.49	0	MQ MAG	OBS
BS.bin.24	67.15	3.19	67.07	2.61	MQ MAG	OBS
BS.bin.25	72.7	7.15	79.02	8.55	MQ MAG	OBS
BS.bin.28	58.18	1.01	52.69	3.16	MQ MAG	OBS
BS.bin.29	64.25	0.49	74.76	0	MQ MAG	OBS
BS.bin.30	72.33	0.05	74.7	0	MQ MAG	OBS
BS.bin.31	61.27	0.07	56.89	0	MQ MAG	OBS
BS.bin.32	53.94	2.4	60.27	1.94	MQ MAG	OBS
BS.bin.33	65.01	3.1	77.68	3.88	MQ MAG	OBS
BS.bin.34	79.73	1.45	90.98	5.07	MQ MAG	OBS
BS.bin.35	80.21	5.55	82.33	3.45	MQ MAG	OBS
BS.bin.36	88.37	0.61	88.67	0.97	MQ MAG	OBS
BS.bin.37	85.69	1.32	91.23	0.43	MQ MAG	OBS
BS.bin.39	87.26	1.12	91.35	1.14	MQ MAG	OBS
BS.bin.41	82.54	2.42	50.32	2.66	MQ MAG	OBS
BS.bin.42	79.98	4.21	51.06	5.54	MQ MAG	OBS
BS.bin.43	94.37	3.47	94.44	2.66	HQ MAG	OBS
BS.bin.44	67.38	0.78	58.62	0	MQ MAG	OBS
BS.bin.45	80.39	3.36	80.74	3.24	MQ MAG	OBS
BS.bin.47	56.71	6.22	68.25	7.36	MQ MAG	OBS
BS.bin.48	71.18	3.19	76.04	5.49	MQ MAG	OBS
BS.bin.49	73.79	1.79	65.67	0	MQ MAG	OBS
BS.bin.50	72.97	2.15	74.58	2.59	MQ MAG	OBS
BS.bin.51	98.19	0.13	97.44	0.85	HQ MAG	OBS
BS.bin.52	91.05	7.05	87.23	2.52	MQ MAG	OBS
BS.bin.53	98.63	5.38	97.09	4.85	MQ MAG	OBS
BS.bin.54	66.19	7.54	58.38	5.13	MQ MAG	OBS
BS.bin.55	99.9	0.03	96.78	1.92	HQ MAG	OBS
BS.bin.56	64.56	1.59	58.78	3.45	MQ MAG	OBS
BS.bin.57	87.14	4.14	91.45	1.12	MQ MAG	OBS
BS.bin.58	95.81	0.27	92.74	0	HQ MAG	OBS
BS.bin.61	76.56	1.21	73.56	1.82	MQ MAG	OBS
R_15_A_1.bin.01	94.84	1.08	95.86	0.1	HQ MAG	RCES
R_15_A_1.bin.02	88.25	0.38	89.67	1.67	MQ MAG	RCES
R_15_A_1.bin.03	99.85	9.26	77.07	3.45	MQ MAG	RCES
R_15_A_1.bin.04	80.59	4.68	79.94	4.07	MQ MAG	RCES
R_15_A_1.bin.05	87.36	0.05	75.86	0	MQ MAG	RCES
R_15_A_1.bin.06	75.21	3.07	77.8	2.73	MQ MAG	RCES
R_15_A_1.bin.07	99.99	0.39	98.25	1.12	HQ MAG	RCES
R_15_A_1.bin.08	96.13	1.23	96.07	2.14	HQ MAG	RCES
R_15_A_2.bin.01	76.48	0.72	52.59	0	MQ MAG	RCES
R_15_A_2.bin.02	86.28	6.11	71.32	5.17	MQ MAG	RCES
R_15_A_2.bin.03	87.47	0.37	91.42	1.61	MQ MAG	RCES
R_15_A_2.bin.04	64.6	2.93	50.86	0	MQ MAG	RCES
R_15_A_2.bin.05	78.16	3.07	64.19	0.88	MQ MAG	RCES
R_15_A_2.bin.06	58.14	2.81	72.27	1.9	MQ MAG	RCES
R_15_A_2.bin.07	76.55	7.06	52.59	5.17	MQ MAG	RCES
R_15_A_2.bin.08	92.68	0.11	95.35	0.96	HQ MAG	RCES
R_15_A_2.bin.09	97.03	2.58	97.7	1.72	HQ MAG	RCES
R_15_A_2.bin.10	91.91	0.16	90.83	1.2	HQ MAG	RCES
R_15_A_2.bin.11	86.83	8.61	59.83	3.45	MQ MAG	RCES
R_15_A_2.bin.12	51.02	8.76	58.04	8.77	MQ MAG	RCES
R_15_A_2.bin.13	70.18	1.28	66.67	0	MQ MAG	RCES
R_15_A_2.bin.14	76.3	6.73	55.33	0	MQ MAG	RCES
R_15_A_2.bin.15	84.95	0.58	91.72	0.29	MQ MAG	RCES
R_15_A_2.bin.16	95.33	0.25	97.62	0.65	HQ MAG	RCES
R_15_A_2.bin.17	79.31	0.03	71	0	MQ MAG	RCES
R_15_A_2.bin.18	84.77	1.41	75.62	1.12	MQ MAG	RCES
R_15_A_2.bin.19	97.51	1.14	94.98	2.07	HQ MAG	RCES
R_15_A_2.bin.20	87.34	0.05	88.37	0.54	MQ MAG	RCES
R_15_A_3.bin.01	80.54	1.4	75.1	0	MQ MAG	RCES
R_15_A_3.bin.02	77.6	1.96	64.66	0	MQ MAG	RCES
R_15_A_3.bin.03	55.43	2.82	53.51	0	MQ MAG	RCES
R_15_A_3.bin.04	99.8	0.39	97.47	0.64	HQ MAG	RCES
R_15_A_3.bin.05	91.83	0.52	75.34	0	HQ MAG	RCES
R_15_A_3.bin.06	92.96	0.65	95.45	1.71	HQ MAG	RCES
R_15_A_3.bin.07	99.44	0.61	96.67	1.42	HQ MAG	RCES
R_15_A_3.bin.08	81.27	2.7	81.42	3.02	MQ MAG	RCES
R_15_A_3.bin.09	80.75	3.84	86.91	3.36	MQ MAG	RCES
R_15_A_3.bin.10	81.54	3.5	86.74	3.08	MQ MAG	RCES
R_15_A_3.bin.11	91.86	1.83	70.98	0.86	HQ MAG	RCES
R_15_A_3.bin.12	99.98	0.42	100	0.96	HQ MAG	RCES
R_15_A_3.bin.13	57.04	2.3	51.38	1.76	MQ MAG	RCES
R_15_A_3.bin.14	79.39	9.24	58.62	8.62	MQ MAG	RCES
R_15_A_3.bin.15	84.47	1.49	86.7	2.32	MQ MAG	RCES
R_15_A_3.bin.16	68.45	2.25	59.83	0	MQ MAG	RCES
R_15_A_3.bin.17	92.28	1.19	85.63	0.86	HQ MAG	RCES
R_15_A_3.bin.18	92.02	0.34	82.76	0	HQ MAG	RCES
R_15_M_1.bin.01	62.82	3.48	65.64	0	MQ MAG	RCES
R_15_M_1.bin.02	94.63	0.75	82.21	0	HQ MAG	RCES
R_15_M_1.bin.03	96.5	0.01	96.69	1.82	HQ MAG	RCES
R_15_M_1.bin.04	92.86	8.67	93.27	4.54	MQ MAG	RCES
R_15_M_1.bin.05	99.96	0.21	99.72	2.22	HQ MAG	RCES
R_15_M_1.bin.06	87.28	0.76	89.16	3.01	MQ MAG	RCES
R_15_M_1.bin.08	71.71	4.49	79.38	2.1	MQ MAG	RCES
R_15_M_1.bin.09	85.01	3.69	89.5	2.98	MQ MAG	RCES
R_15_M_1.bin.10	93.36	1.99	75.34	0	HQ MAG	RCES
R_15_M_1.bin.11	100	0.48	98.91	1.48	HQ MAG	RCES
R_15_M_2.bin.01	98.76	0.29	97.58	0.96	HQ MAG	RCES
R_15_M_2.bin.02	76.61	4.71	85.25	2.22	MQ MAG	RCES
R_15_M_2.bin.03	84.46	2.04	87.42	0.83	MQ MAG	RCES
R_15_M_2.bin.04	91.15	0.65	93.1	1.93	HQ MAG	RCES
R_15_M_2.bin.05	93.86	1.06	93.44	0.29	HQ MAG	RCES
R_15_M_2.bin.06	83.65	6.86	83.48	5.57	MQ MAG	RCES
R_15_M_2.bin.07	68.36	2.19	73.35	2.48	MQ MAG	RCES
R_15_M_2.bin.08	87.06	3.34	90.94	2	MQ MAG	RCES
R_15_M_2.bin.09	81.54	0.93	92.42	0.87	MQ MAG	RCES
R_15_M_2.bin.10	71.21	0.79	62.93	1.72	MQ MAG	RCES
R_15_M_2.bin.11	99.99	0.7	99.34	0.91	HQ MAG	RCES
R_15_M_2.bin.12	88.6	0.22	94.1	0	MQ MAG	RCES
R_15_M_2.bin.13	72.05	3.19	63.05	0	MQ MAG	RCES
R_15_M_2.bin.14	87	0	94.5	1.38	MQ MAG	RCES
R_15_M_2.bin.15	60.97	7.56	51.75	5.26	MQ MAG	RCES
R_15_M_2.bin.16	92.68	0.15	96.05	0.73	HQ MAG	RCES
R_15_M_2.bin.17	99.77	0.26	97.8	1.04	HQ MAG	RCES
R_15_M_2.bin.18	93.46	0	93.54	2.25	HQ MAG	RCES
R_15_M_2.bin.19	95.5	1.31	92.7	3.09	HQ MAG	RCES
R_15_M_2.bin.20	95.7	1.54	91.43	1.01	HQ MAG	RCES
R_15_M_2.bin.21	100	0.4	98.36	1.39	HQ MAG	RCES
R_15_M_2.bin.23	87.19	1.45	92.51	0.9	MQ MAG	RCES
R_15_M_2.bin.24	74.32	4.24	55.85	6.14	MQ MAG	RCES
R_15_M_3.bin.01	54.73	0.33	63.99	3.36	MQ MAG	RCES
R_15_M_3.bin.02	99.94	0.32	98.8	0.96	HQ MAG	RCES
R_15_M_3.bin.03	98.23	6.97	70.69	0.86	MQ MAG	RCES
R_15_M_3.bin.04	99.87	0.19	97.85	0.72	HQ MAG	RCES
R_15_M_3.bin.05	85.21	0.27	93.49	0	MQ MAG	RCES
R_15_M_3.bin.06	88.09	2.36	89.68	1.92	MQ MAG	RCES
R_15_M_3.bin.07	99.08	1.19	97.48	0.81	HQ MAG	RCES
R_15_M_3.bin.08	85.96	3.57	86.97	3.03	MQ MAG	RCES
R_15_M_3.bin.09	83.31	0.1	68.1	0	MQ MAG	RCES
R_15_M_3.bin.10	90.66	1.2	87.71	0.39	HQ MAG	RCES
R_15_M_3.bin.11	79.56	7.4	78.92	7.76	MQ MAG	RCES
R_15_M_3.bin.12	68.58	0.47	72.43	0.32	MQ MAG	RCES
R_15_M_3.bin.13	92.34	0.01	94.01	1.32	HQ MAG	RCES
R_15_M_3.bin.14	80.31	2.78	84.94	1.51	MQ MAG	RCES
R_15_M_3.bin.15	77.43	4.86	69.73	0.16	MQ MAG	RCES
R_15_M_3.bin.16	59.21	3.08	57.18	1.75	MQ MAG	RCES
R_15_M_3.bin.17	98.46	0.3	99.93	0.48	HQ MAG	RCES
R_15_M_3.bin.19	99.99	0.88	100	0.88	HQ MAG	RCES
R_15_M_3.bin.21	97.24	1.54	93.37	1.7	HQ MAG	RCES
R_15_M_3.bin.22	100	0.26	98.91	1.39	HQ MAG	RCES
R_15_M_3.bin.23	95.27	2.39	98.23	0.29	HQ MAG	RCES
R_15_M_3.bin.24	99.99	0.43	98.78	0.49	HQ MAG	RCES
R_15_M_3.bin.25	67.75	5.73	69.07	3.25	MQ MAG	RCES
R_15_M_3.bin.26	95.12	0.46	70.62	0.86	HQ MAG	RCES
R_15_M_3.bin.27	95.13	8.1	98.05	3.63	MQ MAG	RCES
R_15_M_3.bin.28	78.84	1.11	83.81	0.51	MQ MAG	RCES
R_15_M_3.bin.29	60.69	7.47	52.66	2.59	MQ MAG	RCES
R_15_N_1.bin.01	85.28	4.84	60.69	5.17	MQ MAG	RCES
R_15_N_1.bin.02	55.43	3.88	64.23	2.41	MQ MAG	RCES
R_15_N_1.bin.03	98.56	2.23	95.43	2.22	HQ MAG	RCES
R_15_N_1.bin.04	100	4.73	98.68	1.1	HQ MAG	RCES
R_15_N_1.bin.05	82.92	0.1	72.21	0	MQ MAG	RCES
R_15_N_1.bin.06	70.51	3.5	56.03	1.72	MQ MAG	RCES
R_15_N_1.bin.07	100	0.49	98.91	1.39	HQ MAG	RCES
